a;b;c;d;e;f;g;h;i;j;k;l;m;n;o;p;q;r;s;t;u;v;w;x;y;z;language
0.097;0.013;0.038;0.03;0.091;0.003;0.02;0.014;0.075;0.034;0.042;0.015;0.029;0.051;0.081;0.032;0;0.063;0.048;0.045;0.032;0.002;0.052;0;0.04;0.051;polski
0.096;0.013;0.038;0.032;0.084;0.001;0.014;0.012;0.096;0.025;0.035;0.019;0.038;0.053;0.081;0.03;0;0.048;0.047;0.055;0.023;0;0.055;0;0.04;0.063;polski
0.096;0.018;0.039;0.032;0.098;0.003;0.014;0.006;0.08;0.031;0.028;0.024;0.029;0.059;0.082;0.034;0;0.057;0.035;0.039;0.03;0.001;0.052;0.002;0.051;0.061;polski
0.074;0.005;0.032;0.036;0.111;0.008;0.011;0.001;0.097;0.032;0.033;0.013;0.043;0.055;0.078;0.039;0;0.056;0.058;0.045;0.021;0;0.054;0;0.028;0.068;polski
0.098;0.011;0.034;0.026;0.092;0.002;0.013;0.005;0.105;0.027;0.04;0.027;0.035;0.061;0.074;0.04;0;0.06;0.043;0.035;0.034;0;0.054;0;0.027;0.055;polski
0.09;0.009;0.048;0.026;0.08;0.003;0.01;0.01;0.092;0.032;0.039;0.029;0.03;0.061;0.083;0.042;0;0.052;0.057;0.041;0.024;0;0.054;0;0.031;0.058;polski
0.077;0.013;0.043;0.03;0.079;0.002;0.011;0.011;0.102;0.024;0.043;0.028;0.024;0.054;0.103;0.04;0;0.051;0.053;0.036;0.021;0;0.058;0.002;0.035;0.06;polski
0.088;0.011;0.048;0.025;0.07;0.004;0.01;0.009;0.086;0.03;0.037;0.032;0.019;0.053;0.1;0.041;0;0.053;0.057;0.043;0.023;0;0.065;0;0.041;0.053;polski
0.08;0.009;0.042;0.034;0.08;0.002;0.011;0.011;0.08;0.029;0.049;0.035;0.027;0.051;0.09;0.033;0;0.06;0.05;0.039;0.025;0.001;0.06;0;0.04;0.06;polski
0.095;0.009;0.04;0.029;0.075;0.003;0.01;0.01;0.094;0.019;0.049;0.025;0.026;0.056;0.084;0.031;0;0.053;0.054;0.047;0.027;0.002;0.059;0.005;0.037;0.061;polski
0.085;0.025;0.025;0.037;0.122;0.02;0.02;0.042;0.075;0.001;0.009;0.049;0.03;0.069;0.07;0.026;0;0.073;0.052;0.085;0.027;0.016;0.021;0.003;0.019;0;english
0.082;0.011;0.029;0.05;0.125;0.024;0.019;0.054;0.065;0.001;0.004;0.038;0.035;0.064;0.072;0.021;0;0.068;0.068;0.095;0.028;0.011;0.016;0.005;0.011;0.001;english
0.076;0.015;0.027;0.037;0.137;0.017;0.028;0.043;0.072;0.002;0.006;0.044;0.032;0.078;0.075;0.022;0.001;0.069;0.06;0.083;0.025;0.011;0.018;0.004;0.017;0.001;english
0.084;0.011;0.034;0.047;0.138;0.03;0.018;0.047;0.072;0.004;0.003;0.041;0.027;0.067;0.064;0.021;0.001;0.069;0.059;0.093;0.029;0.01;0.016;0;0.015;0.001;english
0.079;0.015;0.037;0.042;0.124;0.016;0.022;0.044;0.079;0.001;0.008;0.037;0.021;0.074;0.073;0.026;0.001;0.059;0.072;0.097;0.026;0.009;0.019;0.004;0.014;0.001;english
0.084;0.013;0.036;0.042;0.117;0.019;0.022;0.043;0.08;0;0.003;0.042;0.022;0.079;0.074;0.018;0.002;0.063;0.062;0.106;0.03;0.008;0.015;0.002;0.015;0.002;english
0.091;0.01;0.037;0.04;0.134;0.031;0.016;0.045;0.079;0.003;0.002;0.037;0.026;0.073;0.064;0.018;0.001;0.071;0.065;0.1;0.027;0.009;0.011;0.001;0.009;0.001;english
0.099;0.01;0.038;0.042;0.122;0.018;0.021;0.048;0.078;0;0.005;0.04;0.023;0.087;0.07;0.018;0;0.058;0.07;0.096;0.027;0.009;0.011;0.001;0.01;0;english
0.09;0.01;0.039;0.029;0.112;0.02;0.021;0.047;0.099;0.001;0.001;0.045;0.034;0.084;0.071;0.027;0;0.067;0.057;0.082;0.026;0.006;0.016;0.002;0.013;0;english
0.086;0.012;0.036;0.04;0.132;0.019;0.015;0.045;0.086;0.001;0.006;0.043;0.031;0.072;0.056;0.02;0;0.074;0.065;0.092;0.025;0.012;0.017;0.002;0.013;0.001;english
0.062;0.022;0.033;0.05;0.163;0.015;0.021;0.044;0.08;0.009;0.019;0.042;0.034;0.113;0.035;0.009;0;0.053;0.078;0.053;0.033;0.008;0.015;0;0.003;0.006;deutsch
0.067;0.031;0.029;0.039;0.16;0.021;0.035;0.038;0.084;0.002;0.011;0.032;0.037;0.099;0.018;0.009;0;0.078;0.061;0.067;0.044;0.007;0.012;0.005;0.004;0.01;deutsch
0.063;0.019;0.017;0.067;0.181;0.022;0.038;0.036;0.076;0.005;0.014;0.028;0.032;0.103;0.018;0.009;0.001;0.086;0.049;0.06;0.033;0.012;0.019;0.001;0;0.013;deutsch
0.06;0.02;0.024;0.052;0.171;0.012;0.029;0.033;0.095;0.002;0.009;0.039;0.029;0.09;0.029;0.015;0;0.079;0.068;0.07;0.04;0.01;0.011;0.001;0;0.011;deutsch
0.063;0.023;0.033;0.05;0.168;0.015;0.023;0.044;0.078;0.006;0.015;0.042;0.03;0.114;0.031;0.007;0;0.065;0.072;0.051;0.034;0.011;0.018;0.001;0.002;0.007;deutsch
0.059;0.018;0.028;0.072;0.158;0.011;0.031;0.039;0.078;0.003;0.012;0.042;0.022;0.092;0.028;0.008;0;0.072;0.074;0.077;0.048;0.007;0.013;0.001;0;0.008;deutsch
0.057;0.019;0.035;0.063;0.163;0.011;0.026;0.053;0.073;0.003;0.012;0.035;0.033;0.095;0.027;0.008;0;0.068;0.073;0.075;0.038;0.008;0.01;0.001;0.001;0.012;deutsch
0.07;0.014;0.034;0.061;0.156;0.011;0.029;0.048;0.083;0.004;0.01;0.034;0.024;0.109;0.025;0.012;0;0.078;0.071;0.066;0.036;0.006;0.014;0;0.001;0.006;deutsch
0.056;0.013;0.032;0.064;0.166;0.01;0.028;0.049;0.072;0.006;0.017;0.045;0.022;0.113;0.029;0.008;0;0.07;0.057;0.067;0.042;0.011;0.011;0;0;0.012;deutsch
0.053;0.018;0.029;0.064;0.161;0.013;0.034;0.04;0.079;0.002;0.015;0.036;0.022;0.093;0.026;0.011;0;0.081;0.064;0.073;0.046;0.014;0.015;0;0;0.012;deutsch
0.108;0.01;0.032;0.049;0.13;0.018;0.014;0.011;0.077;0.002;0.003;0.061;0.036;0.079;0.055;0.033;0.005;0.069;0.079;0.062;0.048;0.012;0.001;0.002;0.004;0.002;francais
0.087;0.006;0.037;0.035;0.135;0.011;0.011;0.009;0.074;0.002;0.001;0.063;0.029;0.079;0.056;0.037;0.012;0.07;0.088;0.072;0.064;0.015;0;0.003;0.003;0;francais
0.075;0.006;0.027;0.037;0.147;0.015;0.01;0.009;0.085;0.006;0.001;0.056;0.03;0.084;0.061;0.027;0.013;0.076;0.08;0.07;0.062;0.013;0;0.005;0.002;0.002;francais
0.079;0.008;0.037;0.048;0.156;0.011;0.01;0.006;0.077;0.003;0.001;0.06;0.029;0.066;0.04;0.037;0.011;0.077;0.086;0.075;0.062;0.014;0;0.003;0.002;0.001;francais
0.081;0.009;0.037;0.038;0.15;0.011;0.013;0.008;0.079;0.004;0.004;0.063;0.025;0.073;0.059;0.028;0.013;0.069;0.086;0.066;0.06;0.015;0;0.005;0.003;0.002;francais
0.084;0.007;0.027;0.046;0.157;0.013;0.013;0.004;0.084;0.001;0;0.074;0.029;0.081;0.054;0.029;0.008;0.063;0.074;0.069;0.061;0.012;0;0.005;0.003;0.001;francais
0.081;0.01;0.035;0.041;0.149;0.015;0.01;0.008;0.076;0.001;0.002;0.066;0.031;0.07;0.052;0.035;0.009;0.066;0.094;0.075;0.054;0.008;0;0.005;0.004;0.001;francais
0.076;0.01;0.028;0.042;0.155;0.011;0.013;0.004;0.079;0.001;0;0.063;0.021;0.077;0.052;0.035;0.008;0.072;0.092;0.076;0.063;0.01;0;0.007;0.003;0.001;francais
0.078;0.006;0.024;0.041;0.145;0.014;0.014;0.005;0.088;0.001;0;0.066;0.035;0.099;0.062;0.034;0.006;0.065;0.087;0.062;0.051;0.008;0;0.007;0.003;0;francais
0.091;0.011;0.036;0.045;0.153;0.011;0.013;0.008;0.073;0.005;0.001;0.071;0.032;0.071;0.051;0.029;0.01;0.073;0.07;0.072;0.051;0.009;0;0.006;0.003;0.002;francais
0.118;0.008;0.04;0.046;0.119;0.011;0.018;0.007;0.106;0;0;0.068;0.035;0.069;0.083;0.035;0.003;0.07;0.034;0.077;0.029;0.012;0.001;0.001;0.002;0.009;italiano
0.123;0.014;0.042;0.037;0.099;0.007;0.016;0.015;0.113;0.001;0.001;0.057;0.035;0.072;0.097;0.033;0.001;0.061;0.051;0.073;0.027;0.011;0.001;0.001;0.001;0.01;italiano
0.11;0.009;0.037;0.039;0.101;0.016;0.018;0.018;0.117;0;0.003;0.05;0.031;0.082;0.096;0.026;0.003;0.07;0.042;0.067;0.029;0.021;0.003;0.001;0.003;0.008;italiano
0.117;0.006;0.038;0.049;0.122;0.01;0.02;0.01;0.1;0.002;0.003;0.071;0.023;0.084;0.08;0.031;0.001;0.064;0.048;0.067;0.019;0.014;0.002;0;0.003;0.013;italiano
0.116;0.006;0.043;0.035;0.102;0.008;0.025;0.009;0.141;0;0;0.068;0.028;0.067;0.076;0.032;0.004;0.071;0.043;0.067;0.029;0.017;0;0;0.001;0.012;italiano
0.112;0.006;0.045;0.048;0.113;0.006;0.019;0.005;0.114;0;0;0.079;0.027;0.072;0.095;0.028;0.002;0.065;0.039;0.07;0.033;0.013;0;0.001;0;0.008;italiano
0.109;0.007;0.046;0.04;0.105;0.013;0.019;0.007;0.131;0;0.004;0.071;0.018;0.08;0.102;0.027;0.005;0.061;0.04;0.064;0.026;0.014;0;0;0.002;0.008;italiano
0.114;0.007;0.046;0.046;0.114;0.013;0.017;0.007;0.13;0;0;0.071;0.031;0.067;0.086;0.031;0.002;0.064;0.044;0.064;0.022;0.014;0;0;0;0.01;italiano
0.108;0.013;0.046;0.04;0.12;0.011;0.014;0.011;0.131;0;0;0.075;0.024;0.067;0.078;0.029;0.004;0.062;0.05;0.067;0.028;0.01;0;0;0;0.011;italiano
0.12;0.003;0.045;0.038;0.1;0.01;0.018;0.007;0.137;0;0;0.084;0.028;0.072;0.092;0.025;0.002;0.055;0.041;0.072;0.023;0.013;0;0;0;0.012;italiano
